row_num,r_name,r_address,r_number,r_type
101,Caf&eacute; Botanica,160 Central Park S New York,212/484-5120,French
102,Caf&eacute; La Fortuna,69 W. 71st St. New York,212/724-5846,Coffee Bar
103,Caf&eacute; Lalo,201 W. 83rd St. New York,212/496-6031,Coffee Bar
104,Caf&eacute; Luxembourg,200 W. 70th St. New York,212/873-7411,French
105,Caf&eacute; Pierre,2 E. 61st St. New York,212/940-8185,French
106,Caf&eacute; des Artistes,1 W. 67th St. New York,212/877-3500,Continental
107,Cafe Centro,200 Park Ave. between 45th St. and Vanderbilt Ave. New York,212/818-1222,French
108,Cafe Fes,246 W. 4th St. at Charles St. New York,212/924-7653,Mediterranean
109,Caff&egrave; Dante,81 Macdougal St. between Houston and Bleeker Sts. New York,212/982-5275,Coffee Bar
110,Caff&egrave; Dell'Artista,46 Greenwich Ave. New York,212/645-4431,Coffee Bar
111,Caff&egrave; Lure,169 Sullivan St. between Houston and Bleecker Sts. New York,212/473-2642,French
